Имя переменной;Тип переменной;Функция чтения;Функция записи;Адрес регистра;Адрес бита (ов);Комментарий
R_STOP;Целочисленное;Нет;0x06;9;0;Режим работы 	 Защита. Параметр активации режима. Чтение/запись.  
R_RUN;Целочисленное;Нет;0x06;8;0;Режим работы: Пользовательский. Параметр активации режима. Чтение/запись. 
Режим работы;Целочисленное;0x03;Нет;13;0;Режим работы . 0-установка не работает  1-первый запуск  2-комфортный  3-пользовательский  4-защита  5-циклический режим  Текущий статус установки. Чтение. 
No_sign_P1;Целочисленное;0x03;Нет;119;0;Авария. Отсутствует сигнал с датчика давления P1. Чтение.
No_sign_P2;Целочисленное;0x03;Нет;120;0;Авария. Отсутствует сигнал с датчика давления P2. Чтение.  
Alarm_Pt1;Целочисленное;0x03;Нет;121;0;Авария. Реле потока Pt1. Чтение.  
Alarm_Pt2;Целочисленное;0x03;Нет;122;0;Авария. Реле потока Pt2. Чтение. 
No_sing_T2;Целочисленное;0x03;Нет;125;0; Авария. Отсутствует сигнал с датчика температуры T2. Чтение.  
No_sing_T3;Целочисленное;0x03;Нет;126;0;Aвария. Отсутствует сигнал с датчика температуры T3. Чтение.  
Alarm_U1;Целочисленное;0x03;Нет;128;0; Авария. Разомкнут вход U1. Чтение.
